小区名称,均价,在售二手房(套),销售状态,商圈,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数,附近门店,详细地址,小区详情网址,成交时间,成交价格(万),成交单价(元/每平),挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,房屋详情网址
汇雅花园,20675,20,90天成交0套3套正在出租,白云白云大道北,1996年建成 ,塔楼       ,0.65元/平米/月,广州雅汇物业管理有限公司,无开发商,33栋,1068户,暂无门店信息,(白云白云大道北)新广从路汇雅花园,https://gz.lianjia.com/xiaoqu/2111103317585/,2016.03.31 成交,59.5,9154,59.5,暂无数据,1,0,0,暂无数据,2室2厅1厨1卫        ,高楼层 (共7层)          ,65㎡          ,暂无数据              ,暂无数据         ,西北   ,1996 ,简装     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001277572          ,商品房          ,2017-12-20         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001277572.html
汇雅花园,20675,20,90天成交0套3套正在出租,白云白云大道北,1996年建成 ,塔楼       ,0.65元/平米/月,广州雅汇物业管理有限公司,无开发商,33栋,1068户,暂无门店信息,(白云白云大道北)新广从路汇雅花园,https://gz.lianjia.com/xiaoqu/2111103317585/,2016.04.13 成交,53,8154,53,暂无数据,1,0,0,暂无数据,2室1厅0厨1卫        ,中楼层 (共7层)          ,65㎡          ,暂无数据              ,暂无数据         ,西南   ,1996 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001582146          ,商品房          ,2017-11-28         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001582146.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.07.28 成交,110,13096,120,48,0,0,0,暂无数据,3室1厅0厨1卫        ,低楼层 (共9层)          ,84㎡          ,暂无数据              ,暂无数据         ,东北   ,2000 ,其他     ,钢混结构  ,        ,一梯四户           ,70年           ,无           ,GZ0001751526          ,商品房          ,2016-06-10         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001751526.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.08.14 成交,73.6,10083,73.6,暂无数据,1,0,0,暂无数据,2室2厅1厨1卫        ,高楼层 (共9层)          ,73㎡          ,平层              ,暂无数据         ,南   ,2000 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001396610          ,商品房          ,2016-10-20         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001396610.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.09.07 成交,85,11487,85,223,1,0,2,暂无数据,2室1厅0厨0卫        ,中楼层 (共9层)          ,74㎡          ,暂无数据              ,暂无数据         ,西   ,2000 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001310428          ,商品房          ,2016-01-28         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001310428.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.11.29 成交,83,11691,92.3,158,1,0,2,75,2室1厅0厨1卫        ,低楼层 (共9层)          ,71㎡          ,暂无数据              ,暂无数据         ,北   ,2000 ,精装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001784788          ,商品房          ,2016-06-24         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001784788.html
汇侨新城东区,25141,28,90天成交0套25套正在出租,白云新市,1998年建成 ,塔楼       ,1元/平米/月,广州侨鑫汇景物业管理有限公司,侨鑫集团有限公司,30栋,982户,暂无门店信息,(白云新市)汇侨路汇侨新城东区,https://gz.lianjia.com/xiaoqu/2110343238861025/,2016.09.14 成交,84.5,11503,84.5,245,1,0,0,暂无数据,2室2厅0厨1卫        ,低楼层 (共9层)          ,73.46㎡          ,平层              ,暂无数据         ,南   ,2000 ,简装     ,钢混结构  ,        ,一梯八户           ,70年           ,无           ,GZ0001260302          ,商品房          ,2016-01-13         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001260302.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.05.14 成交,112.5,17579,112.5,暂无数据,1,0,3,暂无数据,2室2厅0厨1卫        ,低楼层 (共32层)          ,64㎡          ,暂无数据              ,53㎡         ,南   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0001581802          ,商品房          ,2016-08-09         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001581802.html
金信路,21743,0,90天成交0套1套正在出租,白云白云大道南,暂无信息 ,塔楼       ,暂无信息,暂无信息,暂无信息,3栋,126户,暂无门店信息,(白云白云大道南)金信路,https://gz.lianjia.com/xiaoqu/2111793067945945/,2017.04.20 成交,185,22290,185,暂无数据,0,0,1,112,2室2厅1厨1卫        ,高楼层 (共9层)          ,83㎡          ,暂无数据              ,暂无数据         ,东   ,未知 ,其他     ,钢混结构  ,        ,一梯六户           ,70年           ,无           ,GZ0002613901          ,商品房          ,2017-08-24         ,普通住宅          ,暂无数据       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0002613901.html
金碧新城,33820,75,90天成交8套35套正在出租,白云石井,2004年建成 ,塔楼       ,1.3至1.6元/平米/月,广州市金碧恒盈物业服务有限公司,广州市恒大房地产开发有限公司,11栋,4487户,暂无门店信息,(白云石井)石槎路金碧新城,https://gz.lianjia.com/xiaoqu/2111103317109/,2016.05.19 成交,117,18628,122,14,1,0,0,暂无数据,2室1厅0厨1卫        ,低楼层 (共32层)          ,62.81㎡          ,暂无数据              ,51.1㎡         ,东北   ,2006 ,其他     ,钢混结构  ,        ,三梯八户           ,70年           ,有           ,GZ0001665806          ,商品房          ,2016-05-05         ,普通住宅          ,满五年       ,暂无数据           ,https://gz.lianjia.com/chengjiao/GZ0001665806.html
